Common Name,Scientific Name,Order,Clade,Family
Virginia Opossum,Didelphis virginiana,Didelphimorphia,Clade 2.3.4.4b,Didelphidae
American Kestrel,Falco sparverius,Falconiformes,Clade 2.3.4.4b,
Common Kestrel,Falco tinnunculus,Falconiformes,Clade 2.3.4.4b,
Crested Caracara,Caracara plancus,Falconiformes,Clade 2.3.4.4b,
Gyrfalcon,Falco rusticolus,Falconiformes,Clade 2.3.4.4b,
Lanner Falcon,Falco biarmicus,Falconiformes,Clade 2.3.4.4b,
Lesser Kestrel,Falco naumanni,Falconiformes,Prior,
Merlin,Falco columbarius,Falconiformes,Clade 2.3.4.4b,
Peregrine Falcon,Falco peregrinus,Falconiformes,Clade 2.3.4.4b,
Red Necked Falcon,Falco chicquera,Falconiformes,Clade 2.3.4.4b,
Saker Falcon,Falco cherrug,Falconiformes,Prior,
Bobwhite Quail,Colinus virginianus,Galliformes,Clade 2.3.4.4b,
Chicken,Gallus gallus domesticus,Galliformes,Clade 2.3.4.4b,
Chinese Ringneck Pheasant,Phasianus torquatus,Galliformes,Clade 2.3.4.4b,
Chukar,Alectoris chukar,Galliformes,Clade 2.3.4.4b,
Common Pheasant,Phasianus colchicus,Galliformes,Clade 2.3.4.4b,
Domestic Turkey,Meleagris gallopavo domesticus,Galliformes,Clade 2.3.4.4b,
Japanese Quail,Coturnix japonica,Galliformes,Clade 2.3.4.4b,
Lady Amherst's Pheasant,Chrysolophus amherstiae,Galliformes,Clade 2.3.4.4b,
Helmeted Guineafowl,Numida meleagris,Galliformes,Clade 2.3.4.4b,
Peacock,Pavo cristatus,Galliformes,Clade 2.3.4.4b,
Peafowl,Pavo muticus,Galliformes,Clade 2.3.4.4b,
Red Grouse,Lagopus lagopus scotica,Galliformes,Clade 2.3.4.4b,
Red Legged Partridge,Alectoris rufa,Galliformes,Clade 2.3.4.4b,
Ruffed Grouse,Bonasa umbellus,Galliformes,Clade 2.3.4.4b,
Silver Pheasant,Lophura nycthemera,Galliformes,Clade 2.3.4.4b,
Common Loon,Gavia immer,Gaviiformes,Clade 2.3.4.4b,
Pacific Loon,Gavia pacifica,Gaviiformes,Clade 2.3.4.4b,
Red Throated Loons,Gavia stellata,Gaviiformes,Clade 2.3.4.4b,
American Coot,Fulica americana,Gruiformes,Clade 2.3.4.4b,
Common Crane,Grus grus,Gruiformes,Clade 2.3.4.4b,
Gray Crowned Crane,Balearica regulorum,Gruiformes,Clade 1,
Hooded Crane,Grus monacha,Gruiformes,Prior,
